1978,40,16,SMOKIE,MEXICAN GIRL
1978,40,18,JULIE COVINGTON,DON'T CRY FOR ME ARGENTINA
1978,42,13,"JOHN TRAVOLTA, OLIVIA NEWTON-JOHN & CAST",SUMMER NIGHTS
1978,42,18,TANIA,DON'T CRY FOR ME ARGENTINA
1978,42,19,KAREN YOUNG,HOT SHOT
1978,42,20,FACTORY,LUMPNA FUNDERINGAR
1978,44,18,EDDIE MEDUZA & THE ROARING CADILLACS,PUNKJÄVLAR
1978,44,19,EXILE,KISS YOU ALL OVER
1978,46,14,DEE D. JACKSON,METEOR MAN
1978,46,16,JAN LINDBLAD,VÅREN / I EN KLOSTERTRÄDGÅRD
1978,46,17,DONNA SUMMER,MACARTHUR PARK
1978,46,19,SNOWSTORM,GOING BACK (TO HISSINGS ISLAND)
1978,48,12,OLIVIA NEWTON-JOHN,A LITTLE MORE LOVE
1978,48,19,PETER TOSH,DON'T LOOK BACK
1978,50,10,BEE GEES,TOO MUCH HEAVEN
1978,50,14,BONEY M.,MARY'S BOY CHILD
1978,50,15,BACCARA,THE DEVIL SENT YOU TO LOARDO
1978,50,16,SYLVESTER,YOU MAKE ME FEEL (MIGHTY REAL)
1978,52,12,CHIC,LE FREAK
1978,52,17,VILLAGE PEOPLE,Y.M.C.A.
1978,52,19,THE EAGLES,PLEASE COME HOME FOR CHRISTMAS
1978,52,20,PROMISES,BABY IT'S YOU
1979,2,16,TANIA,GRÅT INTE MER ARGENTINA
1979,2,18,FACTORY,EFTER PLUGGET
1979,4,11,ROD STEWART,DA YA THINK I'M SEXY?
1979,4,16,TOTO,HOLD THE LINE
1979,4,17,IAN DURY AND THE BLOCKHEADS,HIT ME WITH YOU RHYTHM STICK
1979,4,18,CHRIS NORMAN & SUZI QUATRO,STUMBLIN' IN
1979,4,19,"EARTH, WIND & FIRE",SEPTEMBER
1979,6,4,ABBA,CHIQUITITA
1979,6,18,DOLLAR,SHOOTING STAR
1979,8,10,MUSIQUE,IN THE BUSH
1979,8,19,AMII STEWART,KNOCK ON WOOD
1979,8,20,TEACH-IN,DEAR JOHN
1979,10,12,BLONDIE,HEART OF GLASS
1979,10,13,KEITH RICHARDS,RUN RUDOLPH RUN
1979,10,16,BEE GEES,TRAGEDY
1979,10,17,PLASTIC BERTRAND,TOUT PETIT LA PLANETE
1979,10,18,C.B.K.,SUPERMAN
1979,12,10,PAUL EVANS,HELLO THIS IS JOANNIE (THE TELEPHONE ANSWERING…)
1979,12,18,VILLAGE PEOPLE,IN THE NAVY
1979,12,19,MAGNUS UGGLA BAND,JOHNNY THE RUCKER
1979,12,20,TED GÄRDESTAD,SATELLIT
1979,14,9,GLORIA GAYNOR,I WILL SURVIVE
1979,14,11,SÄWES,R.F.S.U.
1979,14,20,TOMAS LEDIN,DET LIGGER I LUFTEN
1979,16,14,CLAUDJA BARRY,(BOOGIE WOOGIE) DANCIN' SHOES
1979,16,18,BONEY M.,HOORAY! HOORAY! IT'S A HOLI-HOLIDAY
1979,18,1,MILK & HONEY,HALLELUJAH
1979,18,3,DSCHINGHIS KHAN,GENGHIS KHAN
1979,18,10,THE BOPPERS,BACK TO THE HOP
1979,18,17,XANDRA,COLORADO
1979,18,20,EDWIN STARR,CONTACT
1979,20,12,PIERRE & ANNA LENA & MATS,HALLELUJA
1979,20,17,DONNA SUMMER,HOT STUFF
1979,20,20,ERUPTION,ONE WAY TICKET
1979,22,2,DSCHINGHIS KHAN,DSCHINGHIS KHAN
1979,22,7,JAN MALMSJÖ,HALLELUJA
1979,22,8,M,POP MUZIK
1979,22,14,"EARTH, WIND & FIRE WITH THE EMOTIONS",BOOGIE WONDERLAND
1979,22,19,WINGS,GOODNIGHT TONIGHT
1979,22,20,VIKINGARNA,DJINGIS KHAN
1979,24,11,RICK FERNANDO,BORN TO BE ALIVE
1979,24,13,RICHARD CLAYDERMAN,BALLADE POUR ADELINE
1979,24,20,SHEILA B. DEVOTION,SEVEN LONELY DAYS
1979,26,11,ANITA WARD,RING MY BELL
1979,26,18,BLONDIE,SUNDAY GIRL
1979,26,19,EDWIN STARR,H.A.P.P.Y. RADIO
1979,28,4,PATRICK HERNANDEZ,BORN TO BE ALIVE
1979,28,17,CHIC,GOOD TIMES
1979,28,18,VOYAGER,HALF WAY HOTEL
1979,28,19,ART GARFUNKEL,BRIGHT EYES
1979,30,7,FRANK ZAPPA,BOBBY BROWN
1979,30,17,HASSE ANDERSSON & KVINNABÖSKE BAND,EVA-LENA
1979,30,18,EBBA GRÖN,VAD SKA DU BLI?
1979,30,19,GRISEN SKRIKER,1000 PUNKS
1979,32,12,BONEY M.,GOTTA GO HOME
1979,32,15,REAL THING,BOOGIE DOWN
1979,32,16,THE BOOMTOWN RATS,I DON'T LIKE MONDAYS
1979,32,17,AMII STEWART,LIGHT MY FIRE
1979,32,18,RITZ,LOCOMOTION
1979,34,15,TRANSVOLTA,DISCOCOMPUTER
1979,34,19,KISS,I WAS MADE FOR LOVIN' YOU
1979,36,13,DONNA SUMMER,BAD GIRLS
1979,36,14,IAN DURY,REASONS TO BE CHEERFUL PART 3
1979,36,15,ULF LUNDELL,(OH LA LA) JAG VILL HA DIG
1979,36,16,PLASTIC BERTRAND,SENTIMENTAL ME
1979,36,17,HORIZONT,FÖRLORAR IGEN
1979,36,20,STRIX Q,VISA VAD DU GÅR FÖR
1979,38,10,SECRET SERVICE,OH SUSIE
1979,38,13,AMANDA LEAR,FASHION PACK
1979,38,19,COMMODORES,SAIL ON
1979,40,12,AMANDA LEAR,"FABULOUS LOVER, LOVE ME"
1979,40,14,GÖRAN RYDH,KEEP ON JOGGIN'
1979,40,16,MAGNUM BONUM,MARIE
1979,40,17,EDDIE MEDUZA,SÅSSIALDEMOKRATERNA
1979,40,20,ROXY MUSIC,DANCE AWAY
1979,42,15,DENNIS PARKER,NEW YORK BY NIGHT
1979,42,16,THE KORGIS,CHINESE GIRL
1979,42,17,CLIFF RICHARD,WE DON'T TALK ANYMORE
1979,42,19,ROBERT JOHN,SAD EYES
1979,44,10,THE CRUSADERS,STREET LIFE
1979,44,12,RACEY,SOME GIRLS
1979,44,15,EDDY GRANT,LIVING ON THE FRONTLINE
1979,44,16,ANITA WARD,DON'T DROP MY LOVE
1979,44,19,BLONDIE,DREAMING
1979,46,12,AMII STEWART,JEALOUSY
1979,46,14,TOMAS LEDIN,NOT BAD AT ALL
1979,46,18,MICHAEL JACKSON,DON'T STOP 'TIL YOU GET ENOUGH
1979,48,6,DONNA SUMMER & BARBRA STREISAND,NO MORE TEARS (ENOUGH IS ENOUGH)
1979,48,8,THE BUGGLES,VIDEO KILLED THE RADIO STAR
1979,48,16,FRANK ZAPPA,JOE'S GARAGE
1979,48,19,STRIX Q,BOYSS
1979,48,20,THE POLICE,MESSAGE IN A BOTTLE
1979,50,18,ABBA,GIMME! GIMME! GIMME! (A MAN AFTER MIDNIGHT)
1979,50,20,MIKAEL RICKFORS,DANCING ON THE EDGE OF DANGER
1979,52,12,THE BOPPERS,WHITE CHRISTMAS
1979,52,17,PAUL MCCARTNEY,WONDERFUL CHRISTMASTIME
1979,52,19,INTERMEZZO,KOM OCH TA MEJ
1980,2,17,BONEY M.,I'M BORN AGAIN
1980,4,7,SUGARHILL GANG,RAPPERS DELIGHT
1980,4,13,BARRY MANILOW,READY TO TAKE A CHANCE AGAIN
1980,4,15,BRITT EKLAND,DO IT TO ME (ONCE MORE WITH FEELING)
