LENA PHILIPSSON,SOMMARTID,https://music.youtube.com/search?q=LENA+PHILIPSSON+SOMMARTID
FLEETWOOD MAC,SEVEN WONDERS,https://music.youtube.com/search?q=FLEETWOOD+MAC+SEVEN+WONDERS
PETER WOLF,CAN'T GET STARTED,https://music.youtube.com/search?q=PETER+WOLF+CAN%27T+GET+STARTED
HOUNDS,THE LION SLEEPS TONIGHT (JOKER),https://music.youtube.com/search?q=HOUNDS+THE+LION+SLEEPS+TONIGHT+%28JOKER%29
PROCOL HARUM,A WHITER SHADE OF PALE (JOKER),https://music.youtube.com/search?q=PROCOL+HARUM+A+WHITER+SHADE+OF+PALE+%28JOKER%29
ANNA,VARJE GÅNG,https://music.youtube.com/search?q=ANNA+VARJE+G%C3%85NG
BAI BANG,UNDER YOUR WINGS,https://music.youtube.com/search?q=BAI+BANG+UNDER+YOUR+WINGS
PATTY SMYTH,DOWNTOWN TRAIN,https://music.youtube.com/search?q=PATTY+SMYTH+DOWNTOWN+TRAIN
ZZAJ,OM DU KOMMER,https://music.youtube.com/search?q=ZZAJ+OM+DU+KOMMER
NEIL YOUNG,MIDEAST VACATION,https://music.youtube.com/search?q=NEIL+YOUNG+MIDEAST+VACATION
PSEUDO ECHO,FUNKY TOWN,https://music.youtube.com/search?q=PSEUDO+ECHO+FUNKY+TOWN
MADONNA,WHO'S THAT GIRL,https://music.youtube.com/search?q=MADONNA+WHO%27S+THAT+GIRL
LOS LOBOS,LA BAMBA,https://music.youtube.com/search?q=LOS+LOBOS+LA+BAMBA
DR. FEELGOOD,"HUNTING, SHOOTING, FISHING",https://music.youtube.com/search?q=DR.+FEELGOOD+HUNTING%2C+SHOOTING%2C+FISHING
LEE KINGS,"I CAN'T GO ON LIVING, BABY, WITHOUT YOU (JOKER)",https://music.youtube.com/search?q=LEE+KINGS+I+CAN%27T+GO+ON+LIVING%2C+BABY%2C+WITHOUT+YOU+%28JOKER%29
CONGRESS,TYSTA TIMMAR,https://music.youtube.com/search?q=CONGRESS+TYSTA+TIMMAR
SEX PISTOLS,ANARCHY IN THE UK (JOKER),https://music.youtube.com/search?q=SEX+PISTOLS+ANARCHY+IN+THE+UK+%28JOKER%29
PET SHOP BOYS,IT'S A SIN,https://music.youtube.com/search?q=PET+SHOP+BOYS+IT%27S+A+SIN
SKY HIGH,DON'T MOVE,https://music.youtube.com/search?q=SKY+HIGH+DON%27T+MOVE
COCK ROBIN,JUST AROUND THE CORNER,https://music.youtube.com/search?q=COCK+ROBIN+JUST+AROUND+THE+CORNER
PERNILLA WAHLGREN,EVERY TIME WHEN WE'RE TOGETHER,https://music.youtube.com/search?q=PERNILLA+WAHLGREN+EVERY+TIME+WHEN+WE%27RE+TOGETHER
TERENCE TRENT D'ARBY,WISHING WELL,https://music.youtube.com/search?q=TERENCE+TRENT+D%27ARBY+WISHING+WELL
ROBBIE NEVIL,WOT'S IT TO YA,https://music.youtube.com/search?q=ROBBIE+NEVIL+WOT%27S+IT+TO+YA
BEATLES,ALL YOU NEED IS LOVE (JOKER),https://music.youtube.com/search?q=BEATLES+ALL+YOU+NEED+IS+LOVE+%28JOKER%29
MICHAEL JACKSON feat. SIEDAH GARRETT,I JUST CAN'T STOP LOVING YOU,https://music.youtube.com/search?q=MICHAEL+JACKSON+feat.+SIEDAH+GARRETT+I+JUST+CAN%27T+STOP+LOVING+YOU
NINA LETAR UFO,BABA TWIST,https://music.youtube.com/search?q=NINA+LETAR+UFO+BABA+TWIST
ELDKVARN,VILD VILD VILD,https://music.youtube.com/search?q=ELDKVARN+VILD+VILD+VILD
TROUBLE FUNK,WOMAN OF PRINCIPLE,https://music.youtube.com/search?q=TROUBLE+FUNK+WOMAN+OF+PRINCIPLE
FLEETWOOD MAC,LITTLE LIES,https://music.youtube.com/search?q=FLEETWOOD+MAC+LITTLE+LIES
WAX,BRIDGE TO YOUR HEART,https://music.youtube.com/search?q=WAX+BRIDGE+TO+YOUR+HEART
VISITORS,ITALIAN GIRL,https://music.youtube.com/search?q=VISITORS+ITALIAN+GIRL
JOHN WAITE,THESE TIMES ARE HARD FOR LOVERS,https://music.youtube.com/search?q=JOHN+WAITE+THESE+TIMES+ARE+HARD+FOR+LOVERS
RED 7,WHEN THE SUN GOES DOWN,https://music.youtube.com/search?q=RED+7+WHEN+THE+SUN+GOES+DOWN
JACKIE WILSON,(YOUR LOVE KEEPS LIFTING ME) HIGHER AND HIGHER (JOKER),https://music.youtube.com/search?q=JACKIE+WILSON+%28YOUR+LOVE+KEEPS+LIFTING+ME%29+HIGHER+AND+HIGHER+%28JOKER%29
PATTI SMITH,PEOPLE HAVE THE POWER,https://music.youtube.com/search?q=PATTI+SMITH+PEOPLE+HAVE+THE+POWER
FRANCE GALL,"ELLA, ELLA L'A",https://music.youtube.com/search?q=FRANCE+GALL+ELLA%2C+ELLA+L%27A
IAN MATTHEWS,FOLLOWING EVERY FINGER,https://music.youtube.com/search?q=IAN+MATTHEWS+FOLLOWING+EVERY+FINGER
AZTEC CAMERA,SOMEWHERE IN MY HEART,https://music.youtube.com/search?q=AZTEC+CAMERA+SOMEWHERE+IN+MY+HEART
ICEHOUSE,ELECTRIC BLUE,https://music.youtube.com/search?q=ICEHOUSE+ELECTRIC+BLUE
VOICE OF THE BEEHIVE,DON'T CALL ME BABY,https://music.youtube.com/search?q=VOICE+OF+THE+BEEHIVE+DON%27T+CALL+ME+BABY
KINGS OF THE SUN,SERPENTINE,https://music.youtube.com/search?q=KINGS+OF+THE+SUN+SERPENTINE
IMPERIET,I HENNES SOVRUM,https://music.youtube.com/search?q=IMPERIET+I+HENNES+SOVRUM
FLAMINGOKVINTETTEN,HAPPY BIRTHDAY SWEET SIXTEEN (JOKER),https://music.youtube.com/search?q=FLAMINGOKVINTETTEN+HAPPY+BIRTHDAY+SWEET+SIXTEEN+%28JOKER%29
WILMER X,BLÅ VÄGEN HEM,https://music.youtube.com/search?q=WILMER+X+BL%C3%85+V%C3%84GEN+HEM
PETER LEMARC,HEMMA VID ETT HAV,https://music.youtube.com/search?q=PETER+LEMARC+HEMMA+VID+ETT+HAV
TONI CHILDS,STOP YOUR FUSSIN',https://music.youtube.com/search?q=TONI+CHILDS+STOP+YOUR+FUSSIN%27
STEVE WINWOOD,HOLDING ON,https://music.youtube.com/search?q=STEVE+WINWOOD+HOLDING+ON
FAIRGROUND ATTRACTION,FIND MY LOVE,https://music.youtube.com/search?q=FAIRGROUND+ATTRACTION+FIND+MY+LOVE
SIMON ROWE,BIRD OF JOY,https://music.youtube.com/search?q=SIMON+ROWE+BIRD+OF+JOY
HOTHOUSE FLOWERS,I'M SORRY,https://music.youtube.com/search?q=HOTHOUSE+FLOWERS+I%27M+SORRY
JOHN TRAVOLTA & OLIVIA NEWTON-JOHN,YOU'RE THE ONE THAT I WANT (JOKER),https://music.youtube.com/search?q=JOHN+TRAVOLTA+%26+OLIVIA+NEWTON-JOHN+YOU%27RE+THE+ONE+THAT+I+WANT+%28JOKER%29
MOODY BLUES,I KNOW YOU'RE OUT THERE SOMEWHERE,https://music.youtube.com/search?q=MOODY+BLUES+I+KNOW+YOU%27RE+OUT+THERE+SOMEWHERE
GUESCH PATTI,LET BE MUST THE QUEEN,https://music.youtube.com/search?q=GUESCH+PATTI+LET+BE+MUST+THE+QUEEN
SKAGARACK,HUNGRY FOR A GAME,https://music.youtube.com/search?q=SKAGARACK+HUNGRY+FOR+A+GAME
DAN HYLANDER,554 832,https://music.youtube.com/search?q=DAN+HYLANDER+554+832
STEFAN FALK,MOTORCYCLE MAN,https://music.youtube.com/search?q=STEFAN+FALK+MOTORCYCLE+MAN
BJÖRN SKIFS,TO TOUCH YOU,https://music.youtube.com/search?q=BJ%C3%96RN+SKIFS+TO+TOUCH+YOU
JOAN JETT & THE BLACKHEARTS,I HATE MYSELF FOR LOVING YOU,https://music.youtube.com/search?q=JOAN+JETT+%26+THE+BLACKHEARTS+I+HATE+MYSELF+FOR+LOVING+YOU
LONDONBEAT,THERE'S A BEAT GOING ON,https://music.youtube.com/search?q=LONDONBEAT+THERE%27S+A+BEAT+GOING+ON
ADVENTURES,DROWNING IN THE SEA OF LOVE,https://music.youtube.com/search?q=ADVENTURES+DROWNING+IN+THE+SEA+OF+LOVE
SUPREMES,LOVE CHILD (JOKER),https://music.youtube.com/search?q=SUPREMES+LOVE+CHILD+%28JOKER%29
HOUSE OF ANDERSON,ADDICTED TO YOU,https://music.youtube.com/search?q=HOUSE+OF+ANDERSON+ADDICTED+TO+YOU
MAGNUM BONUM,SKATEBOARD (JOKER),https://music.youtube.com/search?q=MAGNUM+BONUM+SKATEBOARD+%28JOKER%29
ROXETTE,DRESSED FOR SUCCESS,https://music.youtube.com/search?q=ROXETTE+DRESSED+FOR+SUCCESS
PAT BENATAR,ALL FIRED UP,https://music.youtube.com/search?q=PAT+BENATAR+ALL+FIRED+UP
TRACY CHAPMAN,FAST CAR,https://music.youtube.com/search?q=TRACY+CHAPMAN+FAST+CAR
